id,case_number,date,block,ucr_code,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,historical_wards,zip_code,community_area,census_tract,ward,boundary,police_district,police_beat
24157,JB417774,09/01/2018 11:49:00 AM,007XX S CAMPBELL AVE,110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,True,False,1135,11,28.0,28.0,01A,1159838.0,1896861.0,2018,09/23/2023 03:41:15 PM,41.872699213,-87.688629374,"(41.872699213, -87.688629374)",48.0,21184.0,29.0,756.0,23.0,28.0,16.0,146.0
27749,JG425476,09/15/2023 05:08:00 PM,100XX S MICHIGAN AVE,110,HOMICIDE,FIRST DEGREE MURDER,GAS STATION,True,False,511,5,9.0,49.0,01A,1178989.0,1838582.0,2023,10/26/2023 03:42:00 PM,41.712359904,-87.62009309,"(41.712359904, -87.62009309)",30.0,21861.0,45.0,570.0,43.0,19.0,10.0,250.0
27850,JG499279,11/10/2023 05:52:00 PM,035XX W SCHRAEDER DR,110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1123,11,28.0,27.0,01A,1152826.0,1901060.0,2023,11/18/2023 03:40:25 PM,41.884363351,-87.714262554,"(41.884363351, -87.714262554)",11.0,21572.0,28.0,176.0,23.0,30.0,16.0,86.0
28531,JH546290,12/17/2024 03:43:00 PM,073XX S PHILLIPS AVE,110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,False,False,334,3,7.0,43.0,01A,1193921.0,1856701.0,2024,12/25/2024 03:40:57 PM,41.761727593,-87.564815996,"(41.761727593, -87.564815996)",43.0,22538.0,39.0,245.0,37.0,24.0,18.0,213.0
27947,JG336108,01/17/2024 09:53:00 PM,048XX W WASHINGTON BLVD,110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1532,15,28.0,25.0,01A,1144015.0,1900064.0,2024,01/25/2024 03:42:27 PM,41.881800069,-87.746642988,"(41.881800069, -87.746642988)",11.0,22216.0,26.0,696.0,23.0,32.0,25.0,81.0
27946,JH117920,01/17/2024 02:43:00 AM,034XX W 24TH ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1024,10,22.0,30.0,01A,1153649.0,1887836.0,2024,01/25/2024 03:42:27 PM,41.848058902,-87.711592075,"(41.848058902, -87.711592075)",14.0,21569.0,32.0,755.0,28.0,57.0,21.0,130.0
28065,JH222615,04/12/2024 05:00:00 PM,056XX S MICHIGAN AVE,110,HOMICIDE,FIRST DEGREE MURDER,HALLWAY,False,False,231,2,20.0,40.0,01A,1178122.0,1867562.0,2024,04/20/2024 03:41:25 PM,41.791904042,-87.622391283,"(41.791904042, -87.622391283)",53.0,22260.0,7.0,403.0,4.0,60.0,24.0,125.0
28532,JH547457,12/18/2024 02:29:00 PM,007XX E 84TH PL,110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,632,6,6.0,44.0,01A,1182748.0,1849014.0,2024,12/26/2024 03:41:01 PM,41.740900272,-87.606003833,"(41.740900272, -87.606003833)",31.0,21546.0,40.0,140.0,32.0,61.0,20.0,241.0
28533,JH547513,12/18/2024 03:37:00 PM,003XX W 117TH ST,110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,False,False,522,5,21.0,53.0,01A,1175949.0,1827336.0,2024,12/26/2024 03:41:01 PM,41.681567787,-87.63156199,"(41.681567787, -87.63156199)",45.0,21861.0,50.0,255.0,22.0,19.0,10.0,267.0
27751,JG429814,09/18/2023 09:04:00 PM,070XX S YALE AVE,110,HOMICIDE,FIRST DEGREE MURDER,HALLWAY,False,False,731,7,6.0,69.0,01A,1175843.0,1858266.0,2023,09/26/2023 03:45:34 PM,41.766446231,-87.631026315,"(41.766446231, -87.631026315)",31.0,21559.0,67.0,513.0,32.0,11.0,17.0,210.0
27754,JG429688,09/18/2023 06:36:00 PM,078XX S INDIANA AVE,110,HOMICIDE,FIRST DEGREE MURDER,GARAGE,True,True,623,6,6.0,69.0,01A,1178950.0,1853072.0,2023,09/26/2023 03:45:34 PM,41.752123141,-87.61979599,"(41.752123141, -87.61979599)",31.0,21546.0,67.0,475.0,32.0,61.0,20.0,228.0
27952,JH103742,01/13/2024 07:15:00 AM,000XX E ROOSEVELT RD,110,HOMICIDE,FIRST DEGREE MURDER,"CTA ""L"" TRAIN",True,False,123,1,4.0,32.0,01A,1176859.0,1895074.0,2024,01/27/2024 03:40:15 PM,41.867427761,-87.626192049,"(41.867427761, -87.626192049)",48.0,14913.0,34.0,374.0,9.0,35.0,22.0,94.0
27951,JF374606,09/13/2022 02:25:00 PM,006XX W LAWRENCE DR,110,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,1914,19,46.0,3.0,01A,1170936.0,1932233.0,2022,01/27/2024 03:40:15 PM,41.969525754,-87.646844127,"(41.969525754, -87.646844127)",40.0,22616.0,31.0,635.0,16.0,15.0,2.0,14.0
27756,JG426804,09/19/2023 06:40:00 AM,011XX S ST LOUIS AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1133,11,24.0,29.0,01A,1153217.0,1894679.0,2023,09/27/2023 03:43:25 PM,41.866845456,-87.712996097,"(41.866845456, -87.712996097)",36.0,21572.0,30.0,98.0,14.0,30.0,16.0,141.0
27755,JG430161,09/19/2023 08:08:00 AM,081XX S ELLIS AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,631,6,8.0,44.0,01A,1184310.0,1851222.0,2023,09/27/2023 03:43:25 PM,41.746922888,-87.600211934,"(41.746922888, -87.600211934)",9.0,21546.0,40.0,247.0,35.0,61.0,20.0,235.0
26845,JF186966,06/19/2022 05:10:00 AM,030XX W CERMAK RD,110,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,1022,10,24.0,30.0,01A,1156273.0,1889223.0,2022,12/27/2024 03:40:26 PM,41.851812452,-87.701924399,"(41.851812452, -87.701924399)",36.0,21569.0,32.0,261.0,1.0,57.0,21.0,160.0
28694,JJ247422,05/12/2025 08:19:00 PM,031XX W MADISON ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1222,12,28.0,27.0,01A,1155486.0,1899851.0,2025,05/20/2025 04:02:26 PM,41.880992663,-87.704527184,"(41.880992663, -87.704527184)",11.0,21184.0,28.0,39.0,23.0,28.0,15.0,77.0
28068,JH223840,04/13/2024 05:45:00 PM,077XX S CARPENTER ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,612,6,17.0,71.0,01A,1170655.0,1853491.0,2024,04/21/2024 03:40:50 PM,41.753457689,-87.650181219,"(41.753457689, -87.650181219)",17.0,21554.0,70.0,572.0,31.0,59.0,20.0,230.0
